"Station
Code",Monitoring Location,State,Temperature Min,Temperature Max,Dissolved Oxygen Min,Dissolved Oxygen Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Fecal Coliform Min,Fecal Coliform Max,Total Coliform Min,Total Coliform Max,Fecal Streptococci Min,Fecal Streptococci Max
4415,RIVER MAHI AT DODKAVILLAGE : PRATHAMPURA,GUJARAT,22,30,7.5,8.5,8.1,8.5,307,554,1,1,0.82,1.36,4,30,21,70,,
30050,"RIVER MAHI ABOUT 500 METERS D/S OF KADANA DAM
NEAR BRIDGE, PANCHMAHAL, GUJARAT (RAJASTHAN
AND GUJARAT)",GUJARAT,29,29,4.9,4.9,7.9,7.9,400,400,1.3,1.3,0.32,0.32,170,170,340,340,,
1233,"RIVER MAHI AT BADNAWAR, M.P.","MADHYA
PRADESH",20,22,7,7.8,7.1,8.4,274,603,1,1.4,0.8,1.59,2,2,40,49,,
3318,"RIVER MAHI AT RANISINGH VILLAGE, RATLAM, UJJAIN","MADHYA
PRADESH",21,29,7,7.5,7.6,7.9,270,390,1.6,2,0.32,1.01,2,2,46,48,2,2
4608,"RIVER MAHI FOREST GUEST HOUSE RAJAPUR MATAJI
SHIVGARH RATLAM.","MADHYA
PRADESH",20,29,7.2,7.6,7.5,8.5,224,476,1.6,2,0.32,0.75,2,2,46,49,2,2
30058,RIVER MAHI AT VILLAGE BAJNA (MP & RJASTHAN),"MADHYA
PRADESH",22,26,8.4,8.9,7.4,8.2,162,355,2,2.3,0.32,0.92,2,12,130,150,2,2
3848,RIVER ANAS RIVER NEAR ROAD BRIDGE JHABUA,"MADHYA
PRADESH",20,22,6.9,7.6,7,8.5,302,445,1,1.8,0.73,1.55,2,2,2,49,2,2
1228,"RIVER ANAS AT DAHOD, (KUSHALGARH), DIST.
PANCHMAHAL",GUJARAT,24,29,7.4,8.2,8.1,8.5,295,572,1,1,0.32,0.44,2,14,11,70,2,2
2104,RIVER MALEI AT JAORA,"MADHYA
PRADESH",22,28,7.1,7.5,6.9,8.2,260,868,1.8,2.1,0.32,2.96,2,2,41,49,2,2
2102,"RIVER SHIVNA AT RAMGHAT, MANDSAUR","MADHYA
PRADESH",24,28,7.4,7.7,7.4,8.1,266,637,2,2,0.32,0.93,2,2,48,49,2,2
1227,"RIVER PANAM AT LUNAWADA,",GUJARAT,24,30,7.4,8.2,8,8.5,231,477,1,1,0.32,0.38,2,9,11,50,,
2105,RIVER CHILLAR AT SHAJAPUR,"MADHYA
PRADESH",23,28,6.7,7.5,7.3,7.9,252,450,1.6,2,0.32,0.9,2,2,47,49,2,2
2103,"RIVER JAMMER AT DHOLABAD, RATLAM","MADHYA
PRADESH",20,29,7,7.6,7.4,7.7,130,375,1.4,2,0.32,0.98,2,2,46,49,2,2
5476,"RIVER MAHI AT MAHI DAM,VILLAGE-BHOR KHERA
,BANSWARA",RAJASTHAN,27,29,4,5.4,7.4,7.6,280,542,2.1,2.6,5.23,8.52,80,110,140,180,17,26
4620,"RIVER AJAB BOURALI AT PETLAWAD DAM PETLAVAD,
JHABUA","MADHYA
PRADESH",20,21.5,6.9,7.7,7.5,8.3,300,539,1,1.2,0.54,1.69,2,2,34,49,2,2
1221,"RIVER SABARMATI AT KHEROJ BRIDGE,",GUJARAT,25,27,5,7.6,7.2,8.2,380,765,1,1.3,0.32,1.03,2,12,6,70,2,2
1223,"RIVER SABARMATI AFTER CONF. WITH MESHWA AT
VAUTHA (NEAR DHOKLA),",GUJARAT,20,32,0.3,5.1,7.4,8.4,680,2513,7,27,0.33,2.27,1600,1600,1600,1600,,
1409,"RIVER SABARMATI AT RAILWAY BRIDGE AHMEDABAD,",GUJARAT,27,30,2.7,6.8,7,8.3,302,590,1,4.1,0.4,1.36,21,170,110,540,,
1866,"RIVER SABARMATI AT HANSAOL BRIDGE,",GUJARAT,26,30,4.2,7.6,7.4,8.2,278,402,1,1.8,0.41,1.61,2,33,17,170,,
1,RIVER SABARMATI AT DHAROI DAM,GUJARAT,28,28,2.8,2.8,7.9,7.9,560,560,5,5,2.4,2.4,1600,1600,1600,1600,1600,1600
2,RIVER SABARMATI AT AHMEDABAD AT V.N. BRIDGE,GUJARAT,27,30,0.3,1.2,7.1,8,697,2741,12,105,0.4,24.85,1600,1600,1600,1600,1600,1600
1408,"RIVER SABARMATI AT VILL. MIROLI TALUKA DASCROI,
AHMEDABAD,",GUJARAT,28,32,0.3,4.8,7.2,8,889,6274,8,31,0,1.06,160,1600,1600,1600,1600,1600
2075,"RIVER SABARMATI AT DHAROI DAM, DIST.
MEHSANA.RIVER SABARMATI TA DHAROI DAM, TAL :
SATALASANA, DIST : MEHSANA",GUJARAT,25,30,5.4,7.3,7.7,8.3,384,560,1,1.7,0.32,1.56,2,6,2,47,2,2
10014,"RIVER SABARMATI AT AHMEDABAD U/SHANSOL,
AHMEDABAD",GUJARAT,26,30,4.2,7.6,7.4,8.2,278,402,1,1.8,0.41,0.94,2,33,17,170,2,2
10015,"RIVER SABARMATI AT AHMEDABAD D/SVILL:
MIROLI,TALUKA DASCROI, AHMEDABAD,",GUJARAT,28,32,0.3,4.8,7.2,8,889,3060,8,31,0.33,1.08,1600,1600,1600,1600,,
